STT,Nhóm / Cây quyết định,Điều kiện / Trigger,Kết quả / Hành động,Tham số / Giá trị,Guardrail / Edge case / Ghi chú,File nguồn (kiểm chứng)
,████  02. ONBOARDING FLOW + VALIDATION,POST /api/onboarding/submit,,,,
1,Required fields,Validate userProfile payload,"Bắt buộc: fullName, gender, yearOfBirth, careFor, healthStatus",Thiếu → ValueError (router validation),Pydantic / manual check,onboarding/router.py
2,Sanitize healthStatus,healthStatus không ∈ HEALTH_STATUS,→ fallback 'healthy',"HEALTH_STATUS = {""healthy"", ""monitoring"", ""chronic"", ""mental"", ""pregnant"", ""recovery""}",6 giá trị hợp lệ,onboarding/service.py L172-L174 + shared/validation.py L6
3,Sanitize gender,gender không ∈ GENDERS,→ 'unknown',"GENDERS = {""male"", ""female""}",,onboarding/service.py L176-L178 + shared/validation.py L4
4,Sanitize yearOfBirth,yearOfBirth ngoài 1900..2016,→ 1990,"YEAR_MIN=1900, YEAR_MAX=2016",Lỗi parse (ValueError/TypeError) → 1990,onboarding/service.py L180-L186 + shared/validation.py L22-L23
5,Sanitize lists,chronicSubConditions / badHabits / lifeChanges,Lọc bỏ giá trị không ∈ enum tương ứng,"CHRONIC_SUB = {""diabetes"", ""hypertension"", ""cholesterol"", ""bone_joint"", ""digestive""}","BAD_HABITS = {""latenight"", ""alcohol"", ""unhealthy_eating"", ""stress"", ""smoking"", ""skip_meals"", ""sleep_late"", ""ok""}",onboarding/service.py L189-L191 + shared/validation.py L7-L10
6,Lưu profile,Sau sanitize,users/{uid}/profile/info (merge=True),Thêm createdAt ISO,,onboarding/service.py L194-L197
7,Health conditions,healthStatus='chronic' AND subs có phần tử,Tạo healthConditions/cond-{i+1} với source='self_report',Mỗi sub → 1 document,,onboarding/service.py L200-L208
8,Chọn cây — ưu tiên user,assignedPlants.primary.group hợp lệ,Dùng lựa chọn của user; else → assign_plant(profile),Kiểm tra chosen_group in PLANT_GROUPS,Xem CÂY QUYẾT ĐỊNH mục 03,onboarding/service.py L211-L219
9,Tạo care plan,Sau gán cây,"carePlans/plan-1: plantStatus, habits, pharmacistApproved, needsPharmacist...","status='growing' nếu auto, 'pending' nếu cần DS","habitSource='ai_generated' nếu auto, 'pending_pharmacist' nếu cần DS",onboarding/service.py L229-L247
10,AI summary,Luôn,Sinh customer_summary qua AI; validate guardrails; fallback text nếu unsafe,Lưu vào plan-1.aiSummary,AI fail → fallback hardcode text kèm emoji,onboarding/service.py L320-L365
11,Init loyalty,Nếu chưa có,"loyaltySummary/info = {totalPoints:0, familyPoints:0, tier:'Bronze', voucherHistory:[]}",loyalty_ref.get().exists check,,onboarding/service.py L383-L390
12,Pharmacist queue,needsPharmacist=true,"pharmacistQueue/draft-{uid}: status=pending, priority=medium, kèm aiSummary","Kèm healthStatus, chronicSubConditions",,onboarding/service.py L368-L380
13,Audit,Kết thúc,medical_audit_log: action='onboarding_completed',"Kèm assignedPlant, needsPharmacist",Immutable log,onboarding/service.py L393-L399
,,,,,,
,████  03. CÂY QUYẾT ĐỊNH — GÁN CÂY BACKEND (assign_plant),"Đánh giá theo thứ tự, dừng ở nhánh khớp đầu tiên",,,,
,THỨ TỰ ƯU TIÊN BACKEND,"age = datetime.now().year - int(profile.get('yearOfBirth', 1990))",Tuần tự: Medical → Age → Pregnant → Lifestyle → Default,,⚠ Thứ tự khác Frontend (xem mục 04),onboarding/service.py L120-L161
1,Nhánh 1: Mãn tính có sub,health='chronic' AND subs≥1,DISEASE_TO_PLANT[subs[0]] (default bittermelon). Map plant→group.,Không khớp group → G3 (Khổ Qua),Medical → cần DS,onboarding/service.py L129-L136
2,Nhánh 2: Tinh thần,health='mental',G8 — Oải Hương (lavender),needsPharmacist=true,,onboarding/service.py L138-L139
3,Nhánh 3: Hồi phục,health='recovery',G7 — Nghệ (turmeric),needsPharmacist=true,,onboarding/service.py L140-L141
4,Nhánh 4: Theo dõi,health='monitoring',G2 — Gừng (ginger),needsPharmacist=true,,onboarding/service.py L142-L143
5,Nhánh 5: Trẻ em,age < 18,G5 — Húng Quế (basil),needsPharmacist=false,⚠ Backend check tuổi TRƯỚC pregnant,onboarding/service.py L146-L147
6,Nhánh 6: Cao tuổi,age ≥ 60,G6 — Lô Hội (aloe),needsPharmacist=false,,onboarding/service.py L148-L149
7,Nhánh 7: Mang thai,health='pregnant',G4 — Sen (lotus),needsPharmacist=false,⚠ Backend check pregnant SAU tuổi,onboarding/service.py L150-L151
8,Nhánh 8: Vận động,exercise='active',G9 — Nhân Sâm (ginseng),needsPharmacist=false,,onboarding/service.py L154-L155
9,Nhánh 9: Gia đình,careFor='family',G11 — Cam Thảo (licorice),needsPharmacist=false,,onboarding/service.py L156-L157
10,Nhánh 10: Ít vận động,exercise='sedentary',G10 — Rau Má (pennywort),needsPharmacist=false,,onboarding/service.py L158-L159
11,Nhánh 11: Mặc định,Không khớp nhánh nào,G1 — Bạc Hà (mint),needsPharmacist=false,Mặc định nền tảng,onboarding/service.py L161
,,,,,,
,████  04. CÂY QUYẾT ĐỊNH — GÁN CÂY FRONTEND (assignPlant),THỨ TỰ KHÁC BACKEND — pregnant ƯU TIÊN trước tuổi,,,,
,THỨ TỰ ƯU TIÊN FRONTEND,age = new Date().getFullYear() - (yearOfBirth || 1990),Tuần tự: Medical → chronic (no subs) → Pregnant → Age → Lifestyle → Default,,⚠ Frontend có thêm nhánh 'chronic without subs' → G3,plantAssignment.js L43-L78
1,Nhánh 1: chronic + subs,healthStatus='chronic' && subs.length > 0,DISEASE_TO_PLANT[subs[0]] || 'bittermelon' → findGroupByPlant(),Fallback G3,Giống backend,plantAssignment.js L49-L51
2,Nhánh 2: chronic (no subs),healthStatus='chronic' (không có subs),G3 — Khổ Qua (bittermelon),,⚠ Backend KHÔNG có nhánh này (backend chỉ check chronic+subs),plantAssignment.js L53-L54
3,Nhánh 3: mental,healthStatus='mental',G8 — Oải Hương,,Giống backend,plantAssignment.js L56-L57
4,Nhánh 4: recovery,healthStatus='recovery',G7 — Nghệ,,Giống backend,plantAssignment.js L59-L60
5,Nhánh 5: monitoring,healthStatus='monitoring',G2 — Gừng,,Giống backend,plantAssignment.js L62-L63
6,Nhánh 6: Mang thai ★,healthStatus='pregnant',G4 — Sen (lotus),,⚠ Frontend check pregnant TRƯỚC tuổi (khác backend),plantAssignment.js L67
7,Nhánh 7: Trẻ em,age < 18,G5 — Húng Quế (basil),,Frontend check tuổi SAU pregnant,plantAssignment.js L68
8,Nhánh 8: Cao tuổi,age ≥ 60,G6 — Lô Hội (aloe),,,plantAssignment.js L69
9-11,Lifestyle + Default,exercise='active' → G9; careFor='family' → G11; exercise='sedentary' → G10; else G1,Giống backend,,,plantAssignment.js L72-L77
,,,,,,
,████  05. BẢNG 15 NHÓM CÂY + DISEASE → PLANT,,,,,
G1,Nhóm cây,plant=mint,🌿 Bạc Hà (color: #10B981),needsPharmacist: KHÔNG,Sức khỏe nền tảng,onboarding/service.py L14-L29 + plantAssignment.js L3-L19
G2,Nhóm cây,plant=ginger,🫚 Gừng (color: #00923F),needsPharmacist: CẦN DS,Huyết áp / theo dõi chỉ số,onboarding/service.py L14-L29 + plantAssignment.js L3-L19
G3,Nhóm cây,plant=bittermelon,🥒 Khổ Qua (color: #65A30D),needsPharmacist: CẦN DS,Tiểu đường,onboarding/service.py L14-L29 + plantAssignment.js L3-L19
G4,Nhóm cây,plant=lotus,🪷 Sen (color: #DB2777),needsPharmacist: KHÔNG,Thai sản,onboarding/service.py L14-L29 + plantAssignment.js L3-L19
G5,Nhóm cây,plant=basil,🌿 Húng Quế (color: #F59E0B),needsPharmacist: KHÔNG,Thanh thiếu niên / dinh dưỡng,onboarding/service.py L14-L29 + plantAssignment.js L3-L19
G6,Nhóm cây,plant=aloe,🪴 Lô Hội (color: #059669),needsPharmacist: KHÔNG,Người cao tuổi 60+,onboarding/service.py L14-L29 + plantAssignment.js L3-L19
G7,Nhóm cây,plant=turmeric,🟡 Nghệ (color: #D97706),needsPharmacist: CẦN DS,Phục hồi / chống viêm,onboarding/service.py L14-L29 + plantAssignment.js L3-L19
G8,Nhóm cây,plant=lavender,🪻 Oải Hương (color: #7C3AED),needsPharmacist: CẦN DS,Thần kinh / mất ngủ,onboarding/service.py L14-L29 + plantAssignment.js L3-L19
G9,Nhóm cây,plant=ginseng,🥔 Nhân Sâm (color: #9CA3AF),needsPharmacist: KHÔNG,Người trẻ vận động,onboarding/service.py L14-L29 + plantAssignment.js L3-L19
G10,Nhóm cây,plant=pennywort,🌾 Rau Má (color: #0284C7),needsPharmacist: KHÔNG,Ít vận động / phòng ngừa,onboarding/service.py L14-L29 + plantAssignment.js L3-L19
G11,Nhóm cây,plant=licorice,🌿 Cam Thảo (color: #B45309),needsPharmacist: KHÔNG,Caregiver chăm người thân,onboarding/service.py L14-L29 + plantAssignment.js L3-L19
G12,Nhóm cây,plant=lemongrass,🌿 Sả (color: #4A8A40),needsPharmacist: KHÔNG,Phòng ngừa / đề kháng,onboarding/service.py L14-L29 + plantAssignment.js L3-L19
G13,Nhóm cây,plant=eucommia,🌳 Đỗ Trọng (color: #8B5CF6),needsPharmacist: CẦN DS,Xương khớp,onboarding/service.py L14-L29 + plantAssignment.js L3-L19
G14,Nhóm cây,plant=phyllanthus,🌿 Diệp Hạ Châu (color: #059669),needsPharmacist: CẦN DS,Tiêu hóa / gan,onboarding/service.py L14-L29 + plantAssignment.js L3-L19
G15,Nhóm cây,plant=tea,🍵 Lá Trà (color: #3B82F6),needsPharmacist: CẦN DS,Cholesterol / tuân thủ dài hạn,onboarding/service.py L14-L29 + plantAssignment.js L3-L19
,DISEASE→PLANT,diabetes,bittermelon (G3),,Mapping sub-condition mãn tính,onboarding/service.py L73-L78 + plantAssignment.js L22-L28
,DISEASE→PLANT,hypertension,ginger (G2),,,
,DISEASE→PLANT,cholesterol,tea (G15),,,
,DISEASE→PLANT,bone_joint,eucommia (G13),,,
,DISEASE→PLANT,digestive,phyllanthus (G14),,,
,,,,,,
,████  06. CÂY QUYẾT ĐỊNH — AUTO-APPROVE vs DƯỢC SĨ DUYỆT,,,,,
1,Phân luồng duyệt,plantGroup ∈ MEDICAL_GROUPS (dynamic từ needsPharmacist=true),"needsPharmacist=TRUE → plantStatus='pending', habits=[], vào pharmacistQueue","MEDICAL_GROUPS = {G2,G3,G7,G8,G13,G14,G15} (derived from needsPharmacist flag)",Chờ DS duyệt mới sinh habit,"onboarding/service.py L114-L118, L220-L227"
2,Phân luồng duyệt,plantGroup ∉ MEDICAL_GROUPS,"Auto-approve → plantStatus='growing', AI sinh habit ngay","AUTO_APPROVE_GROUPS = {G1,G4,G5,G6,G9,G10,G11,G12} (hardcode careplan/service.py)",Không cần DS,onboarding/service.py L225-L227 + careplan/service.py L10
3,Hàng đợi DS,needsPharmacist=true (từ bước onboarding),"pharmacistQueue/draft-{uid}: status=pending, priority=medium","Kèm aiSummary, healthStatus, subs, plantGroup, plantType, plantLabel",,onboarding/service.py L368-L380
4,DS Duyệt,POST /api/pharmacist/approve/{draftId},"queue→approved; plan-1: plantStatus='growing', pharmacistApproved=true, sinh habit",habitSource='pharmacist_approved',Push PHARMACIST_APPROVED + insight. Audit care_plan_approved,pharmacist/service.py L101-L191
5,DS Từ chối,POST /api/pharmacist/reject/{draftId},"queue→rejected; plan-1: plantStatus='paused', pharmacistApproved=false, needsPharmacist=false",Kèm rejectReason,Push 'Hồ sơ cần bổ sung' + insight. Audit care_plan_rejected,pharmacist/service.py L194-L256
,,,,,,
,████  07. CARE PLAN & SINH HABIT (AI),,,,,
1,Sinh habit,"CarePlanService.generate_habits(userId, plantGroup, profile)",Render prompt careplan_habits → AI → validate guardrails → parse JSON,"Base = get_all_habits(group) từ habitCatalog (Firestore, cache 5 phút TTL)",AI fail/unsafe → fallback catalog base_habits,careplan/service.py L36-L103
2,Giới hạn active,AI trả habits,Tối đa 3 habit active cùng lúc,active_count < 3 → active=True; else → active=False,Đếm loop tuần tự,careplan/service.py L88-L96
3,Catalog,Đọc habit từ Firestore,"habitCatalog collection (cache 5 phút TTL), fallback FALLBACK_CATALOG hardcode","default=active, optional=inactive",Fallback chỉ có G1 và G2 hardcode,"careplan/habit_catalog.py L15-L41, L111-L136"
4,KH tự sửa,PATCH /api/careplan/{plan}/habits/{id},Patch fields vào habit object (toggle active/done...),,Self-customize bởi user,careplan/service.py L106-L125
5,KH thêm habit,POST /api/careplan/{plan}/habits,"custom_{uuid[:8]}, points=10, isCustom=true, active=true, done=false",icon='ui_note_pencil',Audit custom_habit_added,careplan/service.py L128-L160
,,,,,,
,████  08. GARDEN — TƯỚI CÂY / STREAK / STAGE,,,,,
1,Tưới cây,POST /api/garden/water {habitId},Tạo adherenceEvent(eventType='water') +10 điểm; mark habit done+doneAt,"pointsEarned=10, Increment(10) cho loyaltySummary",DEDUP: cùng habitId cùng ngày → 'Already watered today',garden/service.py L90-L149
2,Daily reset,GET /api/garden khi habit.done & doneAt[:10] != hôm nay,"Reset done=false, doneAt=null",So sánh doneAt[:10] != today_str_reset,Tự reset đầu ngày mới khi gọi GET,garden/service.py L26-L38
3,Tính streak,Đếm ngày liên tiếp lùi từ hôm nay,Lùi từ hôm nay (hoặc hôm qua nếu hôm nay chưa tưới) khi còn trong event_dates,Quét tối đa 30 adherenceEvents gần nhất (order DESC),,garden/service.py L45-L69
4,Tính Stage cây,Theo streak,streak≥30→stage=4; ≥15→3; ≥8→2; else 1,"stageNames: ['Chờ duyệt', 'Mầm non', 'Cây non', 'Trưởng thành', 'Đang nụ', 'Nở hoa']",6 tên nhưng chỉ 4 stage (1-4),garden/service.py L72-L80 + onboarding/service.py L244
5,Badge garden,GET /api/garden/badges theo streak,≥7 'Mầm Xanh'; ≥14 'Cây Lớn'; ≥30 'Vườn Xanh',id: sprout / tree / garden,Demo badges chỉ 3,garden/service.py L158-L169
6,Simulate streak,POST /api/garden/simulate-streak,"Điền tối đa 7 ngày thiếu (demo), recalc stage, update plantLevel",simulated=true trên mỗi event,Chỉ cho demo. active_plan_ref.update({plantLevel: stage}),garden/service.py L172-L251
,,,,,,
,████  09. FAMILY GARDEN & TƯỚI HỘ,,,,,
1,Tạo/ensure family,"_ensure_family(db, user_id)","Nếu chưa có familyId trong profile → tạo families/{id}, members=[uid]",Profile path: users/{uid}/profile/info,,family/service.py L56-L74
2,Tạo invite,POST /api/family/invite,"Token = sha256(familyId-userId-uuid4)[:12], TTL 7 ngày, invite_url",expiresAt = now + timedelta(days=7),"⚠ plan_v3 ghi 72h, code = 7 ngày",family/service.py L126-L146
3,Join family,POST /api/family/join {token},Validate: tồn tại / chưa used / chưa hết hạn / chưa là member / <6 người,Max 6 thành viên,"Mark invite used=True, usedBy=user_id. Already member → success+alreadyMember=True",family/service.py L149-L199
4,Tưới hộ,POST /api/family/water/{memberId},"Sender tưới cây target: +5đ sender (set merge), push WATER_REMINDER cho target","+5 điểm cho người tưới (set merge, KHÔNG dùng Increment)","DEDUP 1 lần/ngày/cặp (sender_target), first-write-wins",family/service.py L222-L297
5,Tưới hộ — dup,Đã tưới cặp này hôm nay,'Hôm nay bạn đã tưới hộ thành viên này rồi!',water_logs/{date}/logs/{sender_target},Check log_ref.get().exists trước khi ghi,family/service.py L234-L237
6,Family info,GET /api/family,"Members + garden data (plant, streak, level, status) cho mỗi member",Fallback tên từ root user doc nếu profile ko có fullName,Mỗi member có isMe flag,family/service.py L79-L123
,,,,,,
,████  10. NOTIFICATION & RATE LIMIT,,,,,
1,Rate limit,send_push_notification,Max 3 push/ngày/user (push_count/{date}),MAX_PUSH_PER_DAY = 3,Vượt → skip (trừ skip_rate_limit=True),"notification/service.py L29, L60-L67"
2,No token,User chưa có fcmToken,"Lưu pending_notifications subcollection, gửi khi đăng ký token (chưa implement drain)",,Fallback in-app (pending stored),notification/service.py L97-L103
3,Audit,Mỗi lần gửi,"medical_audit_log: action='push_notification_sent' (success/fail, title, body)",,Immutable record (Guardrail #5),notification/service.py L120-L127
4,Template WATER_REMINDER,Tưới hộ,'💧 {sender} đã tưới cây {plant} cho bạn' / 'Nhớ {habit} hôm nay nhé!',"data.screen='home', action='water_reminder'",Rule #0: không từ y khoa cấm,"notification/service.py L7-L10, L131-L141"
5,Template HABIT_STREAK,Streak,'🔥 Bạn đang có chuỗi {streak} ngày!' / 'Hoàn thành thói quen hôm nay để giữ streak nhé!',,,notification/service.py L11-L13
6,Template REFILL_ALERT,Sắp hết thuốc,'💊 {med} sắp hết' / 'Còn ~5 ngày. Đặt trước để không bị gián đoạn nhé!',Tránh từ 'điều trị',,notification/service.py L15-L17
7,Template PHARMACIST_APPROVED,DS duyệt,'✅ Dược sĩ đã duyệt kế hoạch sức khoẻ' / 'Cây {plant} đã sẵn sàng...',,,notification/service.py L19-L21
8,Template FAMILY_MILESTONE,Cả nhà xong,'🎉 Gia đình đạt chuỗi 7 ngày cùng nhau!' / 'Nhận badge gia đình đặc biệt ngay!',skip_rate_limit=True,data.screen='tab-family',"notification/service.py L23-L26, L144-L155"
,,,,,,
,████  11. VOUCHER & LOYALTY — GUARDRAIL #4,,,,,
1,Whitelist,redeem_voucher check,"voucher_id PHẢI ∈ VOUCHER_WHITELIST, nếu không → từ chối","{""lab"",""vacc"",""supp"",""bandages"",""saline"",""glucometer"",""bp_monitor"",""glucerna_milk"",""probiotic""}",GUARDRAIL #4: TUYỆT ĐỐI không thuốc kê đơn (Rx),voucher/service.py L7-L10
2,Đủ điểm,current_points ≥ cost,"Trừ điểm, append voucherHistory, audit voucher_redeemed",cost lấy từ ALL_VOUCHERS + PLANT_VOUCHER_MAP merged,"Thiếu → 'Không đủ điểm (cần {cost}, hiện có {current_points})'",voucher/service.py L117-L155
3,Targeted voucher,GET /api/voucher/targeted,"Đọc plantType từ carePlans → PLANT_VOUCHER_MAP, else default",plant_type = plans[0].plantType || 'default',⚠ BUG: key 'bitter_melon' (có _) ≠ plantType 'bittermelon' (không _),voucher/service.py L89-L114
,Map ginger,plant=ginger,"bp_monitor (400đ, giảm 15%) + lab (500đ, ưu tiên đặt lịch)",Huyết áp/tim mạch,,voucher/service.py L14-L27
,Map bitter_melon,plant=bitter_melon,"glucometer (300đ, giảm 10%) + glucerna_milk (350đ, giảm 8%)",Tiểu đường,⚠ KEY MISMATCH: plantType lưu 'bittermelon' → KHÔNG match 'bitter_melon',voucher/service.py L28-L41
,Map lavender,plant=lavender,"supp Omega-3 (300đ, giảm 30.000đ)",Giấc ngủ/căng thẳng,,voucher/service.py L42-L49
,Map default,Còn lại / không match,"probiotic (300đ, giảm 20.000đ) + vacc (500đ, giảm 50.000đ)",,KH G3 bittermelon rơi vào đây do key mismatch,voucher/service.py L50-L63
,,,,,,
,████  12. PHARMACIST DASHBOARD & SLA,,,,,
1,Hàng đợi,GET /api/pharmacist/queue,"Lọc status=pending, enrich name/age/time-ago từ profile + root user doc","Time formatting: <1m→Vừa xong, <60m→X phút trước, <24h→X giờ trước, 1d→Hôm qua, else dd/mm",,pharmacist/service.py L7-L69
2,Chi tiết KH,GET /api/pharmacist/customer/{uid},profile + healthConditions + carePlans + prescriptions + purchases (top 10 DESC),,,pharmacist/service.py L72-L98
3,SLA escalation,PharmacistService.check_sla_escalation(),pending ≥4h (medium→high); ≥8h (→critical),"0-4h normal, 4-8h high, 8h+ critical","Audit sla_escalation kèm oldPriority, newPriority, hoursPending",pharmacist/service.py L259-L311
,,,,,,
,████  13. SCHEDULER / CRON JOBS,Header X-Scheduler-Token (bypass cho demo),,,,
1,Daily reminders,POST /api/scheduler/daily-reminders (20:00 VN),Bỏ qua user đã hoàn thành ≥1 habit hôm nay (adherenceEvents.timestamp ≥ today); còn lại → push nhắc,Title: '🌿 Tưới cây chưa hôm nay?',Rate limit 3/ngày bên trong send_push_notification,scheduler/router.py L26-L87
2,Family milestone,"Trong daily-reminders, nếu user có family",Nếu CẢ nhà đều có event hôm nay → FAMILY_MILESTONE push (skip_rate_limit=True),,send_family_streak_notification(member_ids),scheduler/router.py L52-L74
3,Weekly insights,POST /api/scheduler/weekly-insights,AI sinh habit_suggestion/user; nếu safe → lưu insight + push 'Báo cáo sức khỏe tuần',,Validate guardrails + log_ai_output,scheduler/router.py L89-L126
4,Refill check,POST /api/scheduler/refill-check,days_since ≥ refill_cycle-3 → push nhắc mua thuốc,"refillCycleDays mặc định 30, nhắc trước 3 ngày",⚠ BUG: Query top-level 'adherenceEvents' + field 'type'/'date' khác schema subcollection,scheduler/router.py L128-L170
5,SLA cron,POST /api/scheduler/sla-escalation,Gọi PharmacistService.check_sla_escalation(),,,scheduler/router.py L172-L176
,,,,,,
,████  14. AI GUARDRAILS (RULE #0) — 3 LỚP,,,,,
1,Lớp 1 — Banned patterns (regex),validate_ai_response(text),"8 nhóm regex chặn: suy bệnh từ thuốc, chẩn đoán trực tiếp, kê đơn, đề xuất thuốc, 'bệnh nhân', 'phác đồ điều trị', đề xuất cây thảo dược, suy luận di truyền",re.IGNORECASE,Match → violation BANNED_PATTERN,ai/guardrails.py L6-L28
2,Lớp 2 — Disclaimer bắt buộc,REQUIRED_DISCLAIMERS,Output PHẢI nhắc 'dược sĩ/DS/bác sĩ' + 'sẽ/quyết định/xem xét/tư vấn/xác nhận',1 regex pattern,Thiếu → violation MISSING_DISCLAIMER,ai/guardrails.py L31-L33
3,Banned exact phrases,Cụm cấm đứng một mình (case-insensitive),"'điều trị bệnh', 'mắc bệnh', 'bị bệnh', 'kết luận bệnh'","4 cụm cấm, check text.lower()",Match → violation BANNED_PHRASE,ai/guardrails.py L36-L41
4,Lớp 3 — Audit log,"log_ai_output(userId, template, output, isSafe, violations)","Ghi medical_audit_log: action='ai_generation' (isSafe, violations, outputText, promptTemplate)",,"Immutable, truy vết",ai/guardrails.py L70-L85
5,AI Client config,"ai_client.chat(prompt, temperature=0.3)","DeepSeek primary (timeout=3.0s, max_tokens=800, temp=0.3) → Gemini fallback (gemini-1.5-flash, max_output_tokens=800)","model: 'deepseek-chat' (primary), 'gemini-1.5-flash' (fallback)",Cả 2 fail → exception → dùng fallback catalog/text,ai/client.py L8-L62
,,,,,,
,████  15. HEALTH TRACKING (GOOGLE FIT),,,,,
1,OAuth,GET /api/fitness/auth-url,"Redirect Google OAuth, scope CHỈ đọc (6 scopes), access_type=offline, prompt=consent","scopes: activity.read, heart_rate.read, body.read, sleep.read, blood_pressure.read, blood_glucose.read",state=user_id,fitness/service.py L14-L42
2,Callback,GET /api/fitness/callback,"Đổi code → tokens (httpx AsyncClient), lưu Firestore, sync lần đầu, redirect frontend",users/{uid}/integrations/google_fit,Lỗi → fitness_status=error,fitness/router.py + fitness/service.py L45-L93
3,Token refresh,get_valid_access_token(user_id),Còn >5 phút → dùng; hết hạn → refresh bằng refresh_token,timedelta(minutes=5) buffer,Không refresh_token → None,fitness/service.py L114-L141
4,Sync data,POST /api/fitness/sync → fetch_fitness_data,"Lấy 7 ngày: steps, heart_rate, weight, sleep → lưu health_metrics/{date} (raw)","Sleep qua Sessions API (activityType=72), bucketByTime=86400000ms (1 ngày)",Rule #0: KHÔNG suy ra bệnh từ chỉ số. Lưu dưới dạng raw data only,fitness/service.py L144-L209
,,,,,,
,████  16. OCR / UPLOAD,,,,,
1,OCR,POST /api/ai/ocr-extract (hoặc /api/upload),Google Cloud Vision document_text_detection → raw_text + confidence,ImageAnnotatorClient (ADC auth),Audit ocr_processed,upload/service.py L25-L81
